,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
1574,MO,St. Charles County,"399,182","92,666","60,779","7,795","28,873","27,489","30,098","134,883","52,255","22,272",275
1575,MO,St. Clair County,"9,395","1,878","2,538",157,694,780,973,"3,429",529,"1,669",6
1576,MO,Ste. Genevieve County,"17,888","3,880","3,485",326,"1,317","1,349","1,568","6,275",806,"1,720",12
1577,MO,St. Francois County,"66,692","14,102","10,965","1,186","4,929","4,720","5,203","23,136","5,506","11,341",46
1578,MO,St. Louis County,"996,945","219,527","180,210","18,468","72,770","72,009","81,619","344,634","342,878","102,720",685
1579,MO,Saline County,"22,895","5,120","4,182",430,"1,656","1,633","1,848","7,860","4,589","3,188",15
1580,MO,Schuyler County,"4,599","1,156",910,97,320,329,385,"1,538",151,764,3
1581,MO,Scotland County,"4,966","1,463",899,123,324,328,379,"1,555",141,685,3
1582,MO,Scott County,"38,458","9,253","6,940",778,"2,733","2,727","3,111","12,972","6,502","7,210",26
1583,MO,Shannon County,"8,189","1,759","1,810",147,602,640,766,"2,904",526,"1,829",5
1584,MO,Shelby County,"6,050","1,457","1,287",122,426,445,528,"2,058",314,834,4
1585,MO,Stoddard County,"29,206","6,351","5,847",534,"2,131","2,170","2,519","10,192","1,377","4,238",20
1586,MO,Stone County,"31,749","5,207","9,837",438,"2,444","2,854","3,650","12,223","1,689","4,204",21
1587,MO,Sullivan County,"6,221","1,396","1,259",117,451,466,546,"2,162","1,437",935,4
1588,MO,Taney County,"55,852","11,774","12,108",990,"4,083","4,223","4,969","19,688","6,419","8,367",38
1589,MO,Texas County,"25,571","5,432","5,391",456,"1,875","1,938","2,276","9,011","2,288","5,806",17
1590,MO,Vernon County,"20,528","4,841","3,977",407,"1,465","1,490","1,728","6,998","1,278","3,387",14
1591,MO,Warren County,"34,711","8,254","6,103",694,"2,492","2,490","2,840","11,784","2,854","3,606",24
1592,MO,Washington County,"24,943","5,688","4,161",478,"1,818","1,788","2,010","8,549","1,488","5,145",17
1593,MO,Wayne County,"13,122","2,698","3,086",226,973,"1,052","1,275","4,724",703,"3,018",9
1594,MO,Webster County,"39,109","10,663","6,014",897,"2,674","2,589","2,878","12,561","2,268","5,384",27
1595,MO,Worth County,"2,040",415,505,34,150,164,201,736,76,279,1
1596,MO,Wright County,"18,378","4,703","3,630",395,"1,276","1,321","1,551","6,126",916,"4,330",12
1597,MO,St. Louis City,"302,838","57,526","41,490","4,839","22,996","20,692","21,542","106,326","168,759","66,858",208
1598,MT,Beaverhead County,"9,404","1,637","2,070",87,768,471,734,"3,454",914,"1,236",4
1599,MT,Big Horn County,"13,338","4,479","1,707",238,900,487,731,"3,886","9,791","3,375",6
1600,MT,Blaine County,"6,807","2,015","1,049",107,482,274,417,"2,114","3,794","1,393",3
1601,MT,Broadwater County,"6,085","1,211","1,440",64,478,332,507,"2,211",420,617,3
